"Mnemonic","OemCode","Manufacturer","Product","DMX in","DMX out","Are ports Physical","Is RDM supported","Website"
"Oem_luxibel_b_blast_pro_1","0x2BAC","LUXIBEL","B BLAST PRO","1","1","y","y","https://www.luxibel.com/"
"Oem_luxibel_b_blast_1","0x2BAB","LUXIBEL","B BLAST","1","1","y","y","https://www.luxibel.com/"
"Oem_white_wing_logic_ethersplitter_1","0x2BAA","White Wing Logic","Ethersplitter","0","16","n","n","http://whitewing.co.uk"
"Oem_equivalent_lssr_65_1","0x2BA9","equivalent","LSSR 65","1","0","y","y","https://www.equivalent.pro/"
"Oem_integrated_system_technologies_ltd_idrive_atlas_12_1","0x2BA8","Integrated System Technologies Ltd","iDrive Atlas 12","1","1","y","y","www.istl.com"
"Oem_integrated_system_technologies_ltd_idrive_atlas_36_1","0x2BA7","Integrated System Technologies Ltd","iDrive Atlas 36","1","1","y","y","www.istl.com"
"Oem_steinigke_showtechnic_gmbh_ip_plb420_moving-head_beam_1","0x2BA6","Steinigke Showtechnic GmbH","IP PLB420 Moving-Head Beam","21","21","y","y","www.steinigke.de"
"Oem_steinigke_showtechnic_gmbh_ip_plh_420_moving_head_spotbeam_1","0x2BA5","Steinigke Showtechnic GmbH","IP PLH 420 Moving Head SpotBeam","21","21","y","y","www.steinigke.de"
"Oem_pixsper_lxmax_1","0x2BA4","Pixsper","LXMax","0","0","n","n","https://pixsper.com"
"Oem_vari-lite_vl_internal_node_1","0x2BA3","Vari-Lite","VL internal node","1","1","y","y","https://vari-lite.com"
"Oem_clay_paky_minib_1","0x2BA2","CLAY PAKY","MINIB","1","1","y","y","www.claypaky.it"
"Oem_luminex_lighting_control_equipment_luminode_4_wall_1","0x2BA1","Luminex Lighting Control Equipment","LumiNode 4 Wall","4","4","y","y","https://www.luminex.be/"
"Oem_clayp_aky_tambora_linear_100_1","0x2BA0","CLAYP AKY","TAMBORA LINEAR 100","1","1","y","y","www.claypaky.it"
"Oem_clayp_aky_tambora_flash_1","0x2B9F","CLAYP AKY","TAMBORA FLASH","1","1","y","y","www.claypaky.it"
"Oem_l4s_gmbh_eth_controller_10x1024_1","0x2B9E","L4S GmbH","ETH Controller 10x1024","20","","n","n","http://www.light4show.de/"
"Oem_acme_pixel_line_ip_1","0x2B9D","Acme","PIXEL LINE IP","1","1","Y","Y","http://www.acme.com.cn"
"Oem_acme_hail_1","0x2B9C","Acme","HAIL","1","1","Y","Y","http://www.acme.com.cn"
"Oem_lsc_controlsystems_pty_ltd_trs_rack_1","0x2B9B","LSC ControlSystems Pty Ltd","TRS Rack","0","1","y","y","https://lsccontrol.com.au"
"Oem_lucenti_blackwave_pixldrive8_pro_1","0x2B9A","Lucenti","Blackwave PixlDrive8 Pro","33","0","n","n","https://www.lucenti.lighting"
"Oem_godox_photo_equipment_co__ltd_led_light_1","0x2B99","GODOX PHOTO EQUIPMENT CO  LTD","LED Light","512","512","y","y","https://www.godox.com.cn/"
"Oem_makepro_x_glue_1","0x2B98","MakePro X","Glue","1","32","n","n","https://www.makepro-x.com"
"Oem_integrated_system_technologies_ltd_idrive_eco_12_1","0x2B97","Integrated System Technologies Ltd","iDrive Eco 12","12","12","y","y","www.istl.com"
"Oem_emporio_on_stage_eosoemcontroller_1","0x2B96","Emporio On Stage","EosOemController","0","4","y","y","https://www.emporioonstage.it/"
"Oem_pippin_technical_service_pts_limelight_1","0x2B95","Pippin Technical Service","PTS Limelight","0","1","n","n","www.pippintech.com"
"Oem_stagetubes_matrixengine_1","0x2B94","StageTubes","MatrixEngine","1","8","n","y","http://www.stagetubes.com"
"Oem_control8r_midimonster_1","0x2B93","control8r","MIDIMonster","32.768","32.768","n","n","https://midimonster.net/"
"Oem_led_ctrl_led_ctrl_1","0x2B92","LED CTRL","LED CTRL","1","1.024","n","n","http://ledctrl.com"
"Oem_led_control_pte_ltd_mx96_v2_1","0x2B91","LED CONTROL PTE LTD","MX96 v2","96","96","n","n","https://ledctrl.sg/"
"Oem_alpha_lite_alpha_lite_1","0x2B90","ALPHA LITE","ALPHA LITE","0","1","y","y","http://alpha-lite.net"
"Oem_arkaos_mediamaster6_1","0x2B8F","Arkaos","MediaMaster6","16","0","n","n","https://pro.arkaos.com/"
"Oem_chauvet_professional_maverick_storm_2_beamwash_1","0x2B8E","Chauvet Professional","Maverick Storm 2 BeamWash","1","1","y","y","www.chauvetprofessional.com"
"Oem_steinigke_showtechnic_gmbh_dxt_poe_node_i_1","0x2B8D","Steinigke Showtechnic GmbH","DXT PoE Node I","1","1","y","n","https://steinigke.de"
"Oem_dts_illuminazione_srl_alchemy_7_f_1","0x2B8C","DTS Illuminazione srl","ALCHEMY 7 F","1","1","y","y","https://dts-lighting.it/"
"Oem_imlight_electronics_dimrack_48_1","0x2B8B","Imlight Electronics","DimRack 48","4","0","n","y","https://www.imlight.ru/"
"Oem_imlight_electronics_dimrack_96_1","0x2B8A","Imlight Electronics","DimRack 96","4","0","n","y","https://www.imlight.ru/"
"Oem_imlight_electronics_netline_4_1","0x2B89","Imlight Electronics","Netline 4","4","4","y","y","https://www.imlight.ru/"
"Oem_imlight_electronics_netline_8_1","0x2B88","Imlight Electronics","Netline 8","8","8","y","y","https://www.imlight.ru/"
"Oem_imlight_electronics_netline_2_1","0x2B87","Imlight Electronics","Netline 2","2","2","y","y","https://www.imlight.ru/"
"Oem_ligeo_gmbh_ligeo_wifi_g1_1","0x2B86","LIGEO GmbH","LIGEO WIFI G1","1","0","n","n","https://ligeo.de"
"Oem_falcon_christmas_fpp_1","0x2B85","Falcon Christmas","FPP","32.768","32.768","n","n","https://github.com/FalconChristmas/fpp"
"Oem_chauvet_professional_colorado_pxl_bar_8_1","0x2B84","Chauvet Professional","COLORado PXL BAR 8","1","1","y","y","www.chauvetprofessional.com"
"Oem_chauvet_professional_colorado_pxl_bar_16_1","0x2B83","Chauvet Professional","COLORado PXL BAR 16","1","1","y","y","www.chauvetprofessional.com"
"Oem_kuwatec_inc_ex2_1","0x2B82","kuwatec Inc","Ex2","2","2","y","y","http://kuwatec.co.jp/"
"Oem_kuwatec_inc_preflight_1","0x2B81","kuwatec Inc","PrefLight","0","0","n","n","http://kuwatec.co.jp/preflight/"
"Oem_wattle_it_kanet_1","0x2B80","Wattle IT","Kanet","1","2","y","y","https://www.wattleit.com.au"
"Oem_strongled_lighting_systems_suzhou_co_ltd_ip_controller_1","0x2B7F","StrongLED Lighting Systems Suzhou Co Ltd","IP Controller","1","1","y","y","http://www.strongled.com"
"Oem_yarilo_pro_pixel_mini_1","0x2B7E","Yarilo Pro","Pixel Mini","0","16","y","n","https://yarilo.pro/"
"Oem_newsubstance_ltd_media_server_1","0x2B7D","NEWSUBSTANCE Ltd","Media Server","0","0","n","n","https://newsubstance.co.uk"
"Oem_locimation_pty_ltd_lx_toolkit_1","0x2B7C","Locimation Pty Ltd","LX Toolkit","64","64","n","n","https://www.locimation.com/"
"Oem_elation_lighting_ep2_1","0x2B7B","Elation Lighting","EP2","2","2","y","y","https://intranet.americandj.com/obsidian/_layouts/15/cdb/items/product.aspx?ID=12729&Source=/obsidian/_layouts/15/cdb/items/products.aspx"
"Oem_strike_theatre_electronics_llc_hellbender_console_1","0x2B7A","Strike Theatre Electronics LLC","Hellbender Console","0","256","n","n","https://strikete.com"
"Oem_ligeo_gmbh_ligeo_gateway_g2_1","0x2B79","LIGEO GmbH","LIGEO GATEWAY G2","1","1","y","n","https://ligeo.de"
"Oem_schnick_schnack_systems_gmbh_pixel_gate_mini_1","0x2B78","Schnick Schnack Systems GmbH","Pixel Gate Mini","0","1","y","n","https://schnick.schnack.systems"
"Oem_lumenradio_ab_crmx_stardust_1","0x2B77","LumenRadio AB","CRMX Stardust","0","8","y","y","https://www.lumenradio.com"
"Oem_lumenradio_crmx_aurora_1","0x2B76","LumenRadio","CRMX Aurora","0","2","y","y","https://www.lumenradio.com"
"Oem_wireless_solution_sweden_ab_w_dmx_wifi_bridge_f_1_1","0x2B75","Wireless Solution Sweden AB","W DMX WiFi Bridge F 1","0","1","y","y","https://www.wirelessdmx.com"
"Oem_wireless_solution_sweden_ab_w_dmx_wifi_bridge_f_2_1","0x2B74","Wireless Solution Sweden AB","W DMX WiFi Bridge F 2","0","2","y","y","https://www.wirelessdmx.com"
"Oem_alexin_smart_integrations_rti_colorpicker_driver_1","0x2B73","Alexin Smart Integrations","RTI colorpicker driver","4","4","n","n","https://forums.rticorp.com/index.php?topic=27387.0"
"Oem_tyler_ward_poe_stack_light_1","0x2B72","Tyler Ward","POE stack light","0","1","n","y","https://www.scorpia.co.uk"
"Oem_tavlintsev_timofey_ledmapper_1","0x2B71","Tavlintsev Timofey","LedMapper","32","32","n","n","https://tvl.io/soft/ledMapper/"
"Oem_sllcp_nodestereo_1","0x2B70","SLLCP","NodeSTereo","0","2","n","n","https://github.com/nejlontacsko/"
"Oem_acme_octopus_8_1","0x2B6F","Acme","OCTOPUS 8","0","8","Y","Y","http://www.acme.com.cn"
"Oem_acme_flashbolt_1","0x2B6E","Acme","FLASHBOLT","1","1","Y","Y","http://www.acme.com.cn"
"Oem_acme_neozone_1","0x2B6D","Acme","NEOZONE","1","1","Y","Y","http://www.acme.com.cn"
"Oem_sllcp_nodestereo_1","0x2B6C","SLLCP","NodeSTereo","0","2","y","n","https://github.com/nejlontacsko/"
"Oem_martin_professional_vdo_atomic_bold_1","0x2B6B","Martin Professional","VDO Atomic Bold","0","1","N","Y","https://www.martin.com/en-US/products/vdo-atomic-bold"
"Oem_martin_professional_pde_junction_box_active_1","0x2B6A","Martin Professional","PDE Junction Box Active","0","0","N","Y","https://www.martin.com/en-US/products/pde-junction-box-active"
"Oem_whitevoid_comms_module_1","0x2B69","WHITEvoid","Comms Module","1","2","y","y","https://www.whitevoid.com/"
"Oem_clay_paky_tambora_batten_round_1","0x2B68","CLAY PAKY","TAMBORA BATTEN ROUND","1","1","y","y","www.claypaky.it"
"Oem_clay_paky_tambora_batten_square_1","0x2B67","CLAY PAKY","TAMBORA BATTEN SQUARE","1","1","y","y","www.claypaky.it"
"Oem_acme_aeco_22_1","0x2B66","Acme","AECO 22","2","2","Y","Y","http://www.acme.com.cn"
"Oem_acme_aeco_8_1","0x2B65","Acme","AECO 8","1","1","Y","Y","http://www.acme.com.cn"
"Oem_acme_aeco_20_1","0x2B64","Acme","AECO 20","2","2","Y","Y","http://www.acme.com.cn"
"Oem_acme_aeco_5_1","0x2B63","Acme","AECO 5","1","1","Y","Y","http://www.acme.com.cn"
"Oem_acme_aeco_12_1","0x2B62","Acme","AECO 12","2","2","Y","Y","http://www.acme.com.cn"
"Oem_aeco_10_aeco_10_1","0x2B61","AECO 10","AECO 10","1","1","Y","Y","http://www.acme.com.cn"
"Oem_pioneer_lighting_solutions_india_pvt_ltd_pl_node_8_1","0x2B60","Pioneer lighting solutions india pvt ltd","PL NODE 8","0","8","Y","Y","https://www.pioneerlightingsolutions.com"
"Oem_lrs_solutions_lrs_controlbridge_1","0x2B5F","LRS Solutions","LRS ControlBridge","1","1","y","n","http://www.lrssolutions.nl"
"Oem_adl_electronics_ltd_adl_dmx_netgate_dali_1","0x2B5E","ADL Electronics Ltd","ADL DMX NetGate DALI","1","1","Y","N","https://adldc.ru/index.php/catalogue/data-transfer/item/225-adl-dmx-netgate-dali"
"Oem_adl_electronics_ltd_adl_dmx_netgate_spi_1","0x2B5D","ADL Electronics Ltd","ADL DMX NetGate SPI","0","0","N","N","https://adldc.ru/index.php/catalogue/data-transfer/item/229-adl-dmx-netgate-spi"
"Oem_adl_electronics_ltd_adl_dmx_netgate_mini_1","0x2B5C","ADL Electronics Ltd","ADL DMX NetGate Mini","0","2","Y","N","https://adldc.ru/index.php/catalogue/data-transfer/item/231-adl-dmx-netgate-mini-rdm-xlr"
"Oem_adl_electronics_ltd_adl_dc_wso_note_1","0x2B5B","ADL Electronics Ltd","ADL DC WSO Note","0","0","N","N","https://adldc.ru/index.php/catalogue/directcontrol/pulty-adl-dc/item/34-rso-adl-dc-rabochaya-stantsiya-mobilnaya"
"Oem_adl_electronics_ltd_adl_dim_220_12_3_1","0x2B5A","ADL Electronics Ltd","ADL DIM 220 12 3","1","1","Y","Y","https://adldc.ru/index.php/catalogue/dimmernye-bloki/item/119-adl-dim-220-12-3-ek"
"Oem_adl_electronics_ltd_adl_dim_220_12_1_led_1","0x2B59","ADL Electronics Ltd","ADL DIM 220 12 1 LED","1","1","Y","Y","https://adldc.ru/index.php/catalogue/dimmernye-bloki/item/123-adl-dim-220-12-1-es-led"
"Oem_adl_electronics_ltd_adl_dim_220_6_1_led_1","0x2B58","ADL Electronics Ltd","ADL DIM 220 6 1 LED","1","1","Y","Y","https://adldc.ru/index.php/catalogue/dimmernye-bloki/item/156-adl-dim-220-6-1-es-led"
"Oem_adl_electronics_ltd_adl_dim_220_6_5_1","0x2B57","ADL Electronics Ltd","ADL DIM 220 6 5","1","1","Y","Y","https://adldc.ru/index.php/catalogue/dimmernye-bloki/item/157-adl-dim-220-6-5-ek"
"Oem_adl_electronics_ltd_adl_sw_220_12_3_1","0x2B56","ADL Electronics Ltd","ADL SW 220 12 3","1","1","Y","Y","https://adldc.ru/index.php/catalogue/dimmernye-bloki/item/160-adl-sw-220-12-3-ek"
"Oem_adl_electronics_ltd_adl_sw_220_6_5_1","0x2B55","ADL Electronics Ltd","ADL SW 220 6 5","1","1","Y","Y","https://adldc.ru/index.php/catalogue/dimmernye-bloki/item/176-adl-sw-220-6-5-ek"
"Oem_adl_electronics_ltd_adl_dim_sw_220_12_3_1","0x2B54","ADL Electronics Ltd","ADL DIM SW 220 12 3","1","1","Y","Y","https://adldc.ru/index.php/catalogue/dimmernye-bloki/item/128-adl-dimsw-220-12-3-ek"
"Oem_adl_electronics_ltd_adl_dim_sw_220_24_3_1","0x2B53","ADL Electronics Ltd","ADL DIM SW 220 24 3","1","1","Y","Y","https://adldc.ru/index.php/catalogue/dimmernye-bloki/item/130-adl-dim-sw-220-24-3-ekwr"
"Oem_adl_electronics_ltd_adl_dim_sw_220_6_3_1","0x2B52","ADL Electronics Ltd","ADL DIM SW 220 6 3","1","1","Y","Y","https://adldc.ru/index.php/catalogue/dimmernye-bloki/item/131-adl-dimsw-220-6-3-ecf"
"Oem_adl_electronics_ltd_adl_dim_sw_220_6_5_1","0x2B51","ADL Electronics Ltd","ADL DIM SW 220 6 5","1","1","Y","Y","https://adldc.ru/index.php/catalogue/dimmernye-bloki/item/187-adl-dimsw-220-6-5-ek"
"Oem_adl_electronics_ltd_adl_net_server_1","0x2B50","ADL Electronics Ltd","ADL NET SERVER","0","0","N","N","https://adldc.ru/index.php/catalogue/directcontrol/item/35-net-server-adl-dc-server-sistemy"
"Oem_lumios_edmx4_1","0x2B4F","LumiOS","eDMX4","4","4","y","y","https://gtrindustries.com/home/stage_gear_product_distribution/lumios_lighting_systems/"
"Oem_lumios_edmx12_1","0x2B4E","LumiOS","eDMX12","12","12","y","y","https://gtrindustries.com/home/stage_gear_product_distribution/lumios_lighting_systems/"
"Oem_lumios_edmx1_1","0x2B4D","LumiOS","eDMX1","1","1","y","y","https://gtrindustries.com/home/stage_gear_product_distribution/lumios_lighting_systems/"
"Oem_lumios_edlc1_1","0x2B4C","LumiOS","eDLC1","8","8","n","y","https://gtrindustries.com/home/stage_gear_product_distribution/lumios_lighting_systems/"
"Oem_lumios_edlc4_1","0x2B4B","LumiOS","eDLC4","32","32","n","y","https://gtrindustries.com/home/stage_gear_product_distribution/lumios_lighting_systems/"
"Oem_elements_dex_8_1","0x2B4A","elements","DEX 8","0","8","y","y",""
"Oem_stops_mops_gmbh_desk_dough_beam_1","0x2B49","Stops Mops GmbH","Desk Dough Beam","1","0","y","n","https://www.stopsmops.com"
"Oem_licht-technik_hagenbach_grill_mb-yoke_1","0x2B48","Licht-Technik Hagenbach Grill","MB-Yoke","1","0","y","y","https://www.licht-technik.com/en/produkte/motoryoke-studio/"
"Oem_newsubstance_ltd_led_pixel_driver_1","0x2B47","NEWSUBSTANCE Ltd","LED Pixel Driver","0","16","n","n","https://newsubstance.co.uk"
"Oem_newsubstance_ltd_timecode_receiver_1","0x2B46","NEWSUBSTANCE Ltd","Timecode Receiver","0","0","n","n","https://newsubstance.co.uk"
"Oem_akatsuki_node_10_1","0x2B45","Akatsuki","Node 10","2","8","N","Y",""
"Oem_martin_professional_mac_ultra_performance_1","0x2B44","Martin Professional","MAC Ultra Performance","0","1","N","Y","https://www.martin.com/en/products/mac-ultra-performance"
"Oem_martin_professional_mac_ultra_wash_1","0x2B43","Martin Professional","MAC Ultra Wash","0","1","N","Y","https://www.martin.com/en/products/mac-ultra-wash"
"Oem_uniquenterprice_unique_1","0x2B42","Uniquenterprice","Unique","1","1","Y","Y","Uniquenterprice.negocio.site"
"Oem_hypar_collective_hypardrive_1","0x2B41","Hypar Collective","HyparDrive","32.768","32.768","n","y","https://www.hyparcollective.nl/"
"Oem_clay_paky_minib_ww_1","0x2B40","CLAY PAKY","MINIB WW","1","1","y","y","https://www.claypaky.it"
"Oem_clay_paky_minib_parled_aqua_ww_1","0x2B3F","CLAY PAKY","MINIB PARLED AQUA WW","1","1","y","y","https://www.claypaky.it"
"Oem_clay_paky_midib_ww_1","0x2B3E","CLAY PAKY","MIDIB WW","1","1","y","y","https://www.claypaky.it"
"Oem_clay_paky_sharpy_x_frame_1","0x2B3D","CLAY PAKY","SHARPY X FRAME","1","1","y","y","https://www.claypaky.it"
"Oem_clay_paky_panify_1","0x2B3C","CLAY PAKY","PANIFY","1","1","y","y","https://www.claypaky.it"
"Oem_clay_paky_actoris_parled_1","0x2B3B","CLAY PAKY","ACTORIS PARLED","1","1","y","y","https://www.claypaky.it"
"Oem_clay_paky_volero_wave_1","0x2B3A","CLAY PAKY","VOLERO WAVE","1","1","y","y","https://www.claypaky.it"
"Oem_clay_paky_volero_batten_aqua_1","0x2B39","CLAY PAKY","VOLERO BATTEN AQUA","1","1","y","y","https://www.claypaky.it"
"Oem_sidus_link_ltd._sidus_qnet_jupiter_1","0x2B38","Sidus Link Ltd.","Sidus QNet Jupiter","1","1","y","y","www.sidus.link"
"Oem_chauvet_professional_color_strike_m_1","0x2B37","Chauvet Professional","Color STRIKE M","1","1","y","y","http:www.chauvetprofessional.com"
"Oem_nastedt_va_technik_pixelleddriver_1","0x2B36","Nastedt VA Technik","PixelLedDriver","0","1","n","n","https://h-nuestedt.de"
"Oem_integrated_system_technologies_well-building_environmental_sensor_1","0x2B35","Integrated System Technologies","Well-building Environmental Sensor","0","0","n","y","www.istl.com"
"Oem_integrated_system_technologies_poe_led_driver_4_1","0x2B34","Integrated System Technologies","POE LED Driver 4","4","4","y","y","www.istl.com"
"Oem_integrated_system_technologies_poe_led_driver_2_1","0x2B33","Integrated System Technologies","POE LED Driver 2","2","2","y","y","www.istl.com"
"Oem_integrated_system_technology_limited_tendo_pod_poe_1","0x2B32","Integrated System Technology Limited","Tendo Pod PoE","0","0","n","y","https://www.istl.com/"
"Oem_chauvet_professional_maverick_force_s_spot_1","0x2B31","Chauvet Professional","Maverick Force S Spot","1","1","y","y","www.chauvetprofessional.com"
"Oem_chauvet_professional_maverick_force_s_profile_1","0x2B30","Chauvet Professional","Maverick Force S Profile","1","1","y","y","www.chauvetprofessional.com"
"Oem_colordeve_international_missionbar_1","0x2B2F","Colordeve International","MissionBAR","4","4","y","y","http://www.colordeve.com"
"Oem_luminex_lighting_control_equipment_luminode_4_din_1","0x2B2E","Luminex Lighting Control Equipment","LumiNode 4 DIN","4","4","y","y","https://www.luminex.be/"
"Oem_luminex_lighting_control_equipment_luminode_12_rj45_1","0x2B2D","Luminex Lighting Control Equipment","LumiNode 12 RJ45","12","12","y","y","https://www.luminex.be/"
"Oem_lightntec_gmbh_ledtec_flex_wallpaper_1","0x2B2C","LightnTec GmbH","ledTec flex wallpaper","1.000","500","y","y","www.lightntec.com"
"Oem_control_pro_kft_cubeos_1","0x2B2B","Control Pro Kft","CubeOS","512","16","y","n","www.controlpro.hu"
"Oem_chauvet_professional_logic_drive_2x_1","0x2B2A","Chauvet Professional","Logic Drive 2X","2","2","n","y","www.chauvetprofessional.com"
"Oem_chauvet_professional_logic_cv_12w_1","0x2B29","Chauvet Professional","Logic CV 12W","1","1","n","y","www.chauvetprofessional.com"
"Oem_chauvet_professional_logic_cv_24w_1","0x2B28","Chauvet Professional","Logic CV 24W","1","1","n","y","www.chauvetprofessional.com"
"Oem_chauvet_professional_logic_gz_12w_1","0x2B27","Chauvet Professional","Logic GZ 12W","1","1","n","y","www.chauvetprofessional.com"
"Oem_chauvet_professional_logic_gz_48w_1","0x2B26","Chauvet Professional","Logic GZ 48W","1","1","n","y","www.chauvetprofessional.com"
"Oem_chauvet_professional_logic_mr16_dn_6w_1","0x2B25","Chauvet Professional","Logic MR16 DN 6W","1","1","n","y","www.chauvetprofessional.com"
"Oem_chauvet_professional_logic_ar111_dn_12w_1","0x2B24","Chauvet Professional","Logic AR111 DN 12W","1","1","n","y","www.chauvetprofessional.com"
"Oem_chauvet_professional_logic_ar111_dn_24w_1","0x2B23","Chauvet Professional","Logic AR111 DN 24W","1","1","n","y","www.chauvetprofessional.com"
"Oem_chauvet_professional_logic_poe_x_1","0x2B22","Chauvet Professional","Logic POE X","1","1","n","y","www.chauvetprofessional.com"
"Oem_immolas_immo_gate_x4_iso_1","0x2B21","IMMOLAS","IMMO GATE x4 ISO","4","4","y","y","http://immolas.com"
"Oem_clay_paky_sinfonya_profile_600_1","0x2B20","CLAY PAKY","SINFONYA PROFILE 600","1","1","y","y","https://www.claypaky.it"
"Oem_wizzuled_wizzuled_matrix_display_module_v2_1","0x2B1F","WizzuLED","WizzuLED Matrix Display Module v2","0","2","n","y","https://www.facebook.com/wizzuled/"
